capacity,width_ms,soc_%,group,mean_crate,d_raw,d_norm,mae
LFP 35Ah,30,50,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.035520762126427075
LFP 35Ah,30,50,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03498150185677241
LFP 35Ah,30,50,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.03718148971138713
LFP 35Ah,30,50,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.0370755564072176
LFP 35Ah,30,55,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.036706424838671606
LFP 35Ah,30,55,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.03923280175472435
LFP 35Ah,30,55,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03872577157946563
LFP 35Ah,30,55,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.038310520747606644
LFP 35Ah,30,55,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.03862950046744078
LFP 35Ah,30,60,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.041315258822012646
LFP 35Ah,30,60,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.04156670365487953
LFP 35Ah,30,60,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.04125597964966435
LFP 35Ah,30,60,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.0420536156331866
LFP 35Ah,30,60,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.04265703865643404
LFP 35Ah,30,65,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.04178089996357698
LFP 35Ah,30,65,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.03867531297269965
LFP 35Ah,30,65,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.04061057015916472
LFP 35Ah,30,65,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.042260495208299886
LFP 35Ah,30,65,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.04159747495748204
LFP 35Ah,30,70,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.03858462154054918
LFP 35Ah,30,70,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.03534071220940861
LFP 35Ah,30,70,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.03427280444993116
LFP 35Ah,30,70,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.03208927319385767
LFP 35Ah,30,70,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.033997954843100156
LFP 35Ah,30,75,0.5C|1.0C,0.75,0.1299038105676658,0.0,0.030096868297623862
LFP 35Ah,30,75,1.0C|1.5C,1.25,0.21650635094610965,0.01766948341653287,0.027100458900563965
LFP 35Ah,30,75,1.5C|2.0C,1.75,0.30310889132455354,0.03533896683306575,0.02726859719034249
LFP 35Ah,30,75,2.0C|2.5C,2.25,0.3897114317029974,0.05300845024959862,0.02827961685221147
LFP 35Ah,30,75,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.2598076211353316,0.026504225124799316,0.028871797990252857
LFP 35Ah,50,5,0.5C|1.0C,0.75,0.16770509831248423,0.007712582379360663,0.0357192243630686
LFP 35Ah,50,5,1.0C|1.5C,1.25,0.2795084971874737,0.03052378738213398,0.036276625349559596
LFP 35Ah,50,5,1.5C|2.0C,1.75,0.3913118960624632,0.0533349923849073,0.03720468218853429
LFP 35Ah,50,5,2.0C|2.5C,2.25,0.5031152949374527,0.07614619738768061,0.0379999058275128
LFP 35Ah,50,5,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.33541019662496846,0.04192938988352064,0.03907561159495244
LFP 35Ah,50,10,0.5C|1.0C,0.75,0.16770509831248423,0.007712582379360663,0.03734233456792854
LFP 35Ah,50,10,1.0C|1.5C,1.25,0.2795084971874737,0.03052378738213398,0.03837874311881434
LFP 35Ah,50,10,1.5C|2.0C,1.75,0.3913118960624632,0.0533349923849073,0.037708960030067504
LFP 35Ah,50,10,2.0C|2.5C,2.25,0.5031152949374527,0.07614619738768061,0.03810866777786077
LFP 35Ah,50,10,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.33541019662496846,0.04192938988352064,0.039358511693595985
LFP 35Ah,50,15,0.5C|1.0C,0.75,0.16770509831248423,0.007712582379360663,0.03879708906751221
LFP 35Ah,50,15,1.0C|1.5C,1.25,0.2795084971874737,0.03052378738213398,0.040159036146949836
LFP 35Ah,50,15,1.5C|2.0C,1.75,0.3913118960624632,0.0533349923849073,0.0418947216251899
LFP 35Ah,50,15,2.0C|2.5C,2.25,0.5031152949374527,0.07614619738768061,0.040087126725162986
LFP 35Ah,50,15,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,0.33541019662496846,0.04192938988352064,0.04157972199881788
LFP 35Ah,50,20,0.5C|1.0C,0.75,0.16770509831248423,0.007712582379360663,0.03969633847976227
LFP 35Ah,50,20,1.0C|1.5C,1.25,0.2795084971874737,0.03052378738213398,0.039674243817139895
