capacity,soc_%,crate,seed,importance,signed_importance
20Ah,25,2.0,22,0.0032902912979447534,-0.0032902912979447534
20Ah,25,0.5,23,0.06094561586482522,-0.06094561586482522
20Ah,25,1.5,23,0.014159954943050997,0.014159954943050997
20Ah,25,1.0,23,0.010991138359957998,0.010991138359957998
20Ah,25,2.5,23,0.006768924405204907,0.006768924405204907
20Ah,25,2.0,23,0.0012678638228143925,0.0012678638228143925
20Ah,25,0.5,24,0.05441491044698441,-0.05441491044698441
20Ah,25,1.0,24,0.01652752604864821,0.01652752604864821
20Ah,25,1.5,24,0.007344044442122097,0.007344044442122097
20Ah,25,2.5,24,0.004850857452550826,0.004850857452550826
20Ah,25,2.0,24,0.003577648598480632,-0.003577648598480632
20Ah,25,0.5,25,0.049463570369603804,-0.049463570369603804
20Ah,25,1.5,25,0.013094942591658528,0.013094942591658528
20Ah,25,1.0,25,0.010844096667764378,0.010844096667764378
20Ah,25,2.0,25,0.005914253254078761,-0.005914253254078761
20Ah,25,2.5,25,0.004998799863137008,0.004998799863137008
20Ah,25,0.5,26,0.050840217616930805,-0.050840217616930805
20Ah,25,1.5,26,0.017704205040975533,0.017704205040975533
20Ah,25,1.0,26,0.01129732123454968,0.01129732123454968
20Ah,25,2.0,26,0.008213622054407337,-0.008213622054407337
20Ah,25,2.5,26,0.0070583624020064155,0.0070583624020064155
20Ah,25,0.5,27,0.05119289149559941,-0.05119289149559941
20Ah,25,1.0,27,0.018640261042805736,0.018640261042805736
20Ah,25,2.5,27,0.00662064841070001,0.00662064841070001
20Ah,25,2.0,27,0.004923262697762376,-0.004923262697762376
20Ah,25,1.5,27,0.0028560314323360023,0.0028560314323360023
20Ah,25,0.5,28,0.04950378914275079,-0.04950378914275079
20Ah,25,1.0,28,0.016445148618574785,0.016445148618574785
20Ah,25,1.5,28,0.00632317750243066,0.00632317750243066
20Ah,25,2.0,28,0.006232967075317309,-0.006232967075317309
20Ah,25,2.5,28,0.005355718034076122,0.005355718034076122
20Ah,25,0.5,29,0.04687587113676214,-0.04687587113676214
20Ah,25,2.0,29,0.023113484477447606,-0.023113484477447606
20Ah,25,1.5,29,0.0230524861073086,0.0230524861073086
20Ah,25,1.0,29,0.014970945076137944,0.014970945076137944
20Ah,25,2.5,29,0.006409867009254927,0.006409867009254927
20Ah,25,0.5,30,0.05844565742504156,-0.05844565742504156
20Ah,25,1.0,30,0.018780437722271077,0.018780437722271077
20Ah,25,2.5,30,0.00699745770456959,0.00699745770456959
20Ah,25,1.5,30,0.004035273338717206,0.004035273338717206
20Ah,25,2.0,30,0.0037812045379128083,0.0037812045379128083
